0	Are director of film Move (1970 Film) and director of film Méditerranée (1963 Film) from the same country?
1	Do both films The Falcon (Film) and Valentin The Good have the directors from the same country?
2	Which film whose director is younger, Charge It To Me or Danger: Diabolik?
3	What is the date of birth of Mina Gerhardsen's father?
4	What nationality is the director of film Wedding Night In Paradise (1950 Film)?
5	When is the composer of film Sruthilayalu 's birthday?
6	Who is Rhescuporis I (Odrysian)'s paternal grandfather?
7	Do both films: The Ex-Mrs. Bradford and The Star Of Santa Clara have the directors from the same country?
8	Which film came out first, The Love Route or Engal Aasan?
9	Where was the director of film The Fascist born?
10	Are Matraville Sports High School and Wabash High School both located in the same country?
11	Are Alison Skipper and Diane Gilliam Fisher from the same country?
12	Do the movies Bloody Birthday and The Beckoning Silence, originate from the same country?
13	Which country the performer of song Soldier (Neil Young Song) is from?
14	What nationality is the director of film Borunbabur Bondhu?
15	Where was the place of burial of the performer of song There Is So Much World To See?
16	What is the date of birth of the director of film Wandering Fires?
17	When did Fatima Bint Mubarak Al Ketbi's husband die?
18	When was the director of film Private Hell 36 born?
19	Are both businesses, Vakıfbank and Infopro Sdn Bhd, located in the same country?
20	Do director of film Chandirani and director of film Not Without Gisela have the same nationality?
21	Does Mukasa Mbidde have the same nationality as Erich Maas?
22	Does Ted Swinford have the same nationality as Nirmala Sheoran?
23	Which film was released more recently, Die schöne Lurette or Sabhash?
24	Why did the founder of university University Of Birmingham die?
25	Do Rhescuporis Ii and Mcallister Hull share the same nationality?
26	Are director of film Ek Misaal and director of film A Soldier'S Oath both from the same country?
27	When did the director of film An International Marriage die?
28	Which film has the director born later, A Flame In My Heart or Butcher, Baker, Nightmare Maker?
29	Which country the performer of song Miss Brown To You is from?
30	Which film has the director who died later, Aaranya Kandam or One Hundred Nails?
31	What is the place of birth of the director of film Prince Of The Plains?
32	What is the date of birth of the director of film Just Like Heaven (Film)?
33	When did the director of film A Whirlwind Of Whiskers die?
34	Do both films Passage West (1951 Film) and Musa (Film) have the directors from the same country?
35	Are both Tengboche and Estarm, Kerman located in the same country?
36	Who is the mother-in-law of Andrew Murray (Scottish Soldier)?
37	Are Arcata–Eureka Airport and Lake Charles Regional Airport both located in the same country?
38	Where was the director of film Ich Für Dich, Du Für Mich born?
39	When did the performer of song A Pretty Girl Milking Her Cow die?
