0	0	314523	1
0	0	387778	1
0	0	550339	1
0	0	69975	1
0	0	126271	1
0	0	35800	1
0	0	369523	1
0	0	401226	1
0	0	237230	1
0	0	209617	1
1	0	546048	1
1	0	404896	1
1	0	458648	1
1	0	250316	1
1	0	40416	1
1	0	99061	1
1	0	143517	1
1	0	280200	1
1	0	380442	1
1	0	70651	1
2	0	271949	1
2	0	175303	1
2	0	79089	1
2	0	193912	1
2	0	214158	1
2	0	81390	1
2	0	273667	1
2	0	9415	1
2	0	438703	1
2	0	15376	1
3	0	227835	1
3	0	322620	1
3	0	402608	1
3	0	73488	1
3	0	446247	1
3	0	103924	1
3	0	171055	1
3	0	354608	1
3	0	238514	1
3	0	107754	1
4	0	52714	1
4	0	141449	1
4	0	103781	1
4	0	73488	1
4	0	299688	1
4	0	419493	1
4	0	44408	1
4	0	171617	1
4	0	446247	1
4	0	322620	1
5	0	219487	1
5	0	259546	1
5	0	329376	1
5	0	210117	1
5	0	319605	1
5	0	150999	1
5	0	482753	1
5	0	156042	1
5	0	98243	1
5	0	285917	1
6	0	324764	1
6	0	261103	1
6	0	329934	1
6	0	537260	1
6	0	448282	1
6	0	296260	1
6	0	461179	1
6	0	332160	1
6	0	243271	1
6	0	400805	1
7	0	380617	1
7	0	189060	1
7	0	15941	1
7	0	197029	1
7	0	155480	1
7	0	339929	1
7	0	478769	1
7	0	435711	1
7	0	311914	1
7	0	356971	1
8	0	213988	1
8	0	90800	1
8	0	539857	1
8	0	77350	1
8	0	292108	1
8	0	405531	1
8	0	517071	1
8	0	21874	1
8	0	123496	1
8	0	80944	1
9	0	42	1
9	0	188580	1
9	0	204393	1
9	0	314827	1
9	0	382478	1
9	0	124756	1
9	0	367555	1
9	0	271912	1
9	0	62374	1
9	0	434486	1
10	0	21362	1
10	0	547994	1
10	0	160715	1
10	0	185373	1
10	0	105855	1
10	0	461754	1
10	0	23918	1
10	0	540952	1
10	0	338839	1
10	0	83483	1
11	0	439897	1
11	0	222465	1
11	0	38374	1
11	0	165981	1
11	0	190941	1
11	0	273710	1
11	0	77500	1
11	0	334775	1
11	0	355706	1
11	0	518594	1
12	0	404647	1
12	0	349343	1
12	0	198449	1
12	0	1388	1
12	0	114273	1
12	0	240747	1
12	0	33408	1
12	0	234528	1
12	0	504151	1
12	0	53838	1
13	0	551407	1
13	0	530403	1
13	0	18247	1
13	0	450708	1
13	0	224084	1
